nestid,latitude,longitude
5902,-77.454783,169.22321
31087,-77.462215,169.288791
31884,-77.452998,169.231429
46226,-77.454947,169.231791
46746,-77.455327,169.228041
47953,-77.452353,169.227207
48221,-77.454145,169.240324
48379,-77.453029,169.230048
48391,-77.451849,169.230641
48840,-77.451612,169.231663
49012,-77.453036,169.232313
50197,-77.45185,169.22463
50395,-77.452594,169.229487
50494,-77.454608,169.229803
50936,-77.452277,169.235099
50998,-77.452895,169.236441
51373,-77.461555,169.28538
51491,-77.452634,169.229719
51548,-77.460553,169.228429
62089,-77.45762,169.247699
65178,0,0
65272,-77.452995,169.236504
65464,-77.449411,169.22503
65677,0,0
65778,-77.453382,169.230429
65817,-77.453624,169.235059
65831,-77.453755,169.224659
65852,-77.453624,169.229254
65912,-77.452769,169.23003
65914,-77.449294,169.222651
65934,-77.453788,169.236114
66027,-77.453232,169.234565
66038,-77.452923,169.235653
66102,-77.452885,169.236212
66144,-77.453042,169.234788
66199,-77.453594,169.235038
66336,-77.455867,169.247651
68038,0,0
69286,-77.452819,169.230254
69287,0,0
69361,-77.45291,169.224714
69362,0,0
69449,-77.452807,169.224116
69555,-77.452082,169.231897
69828,-77.45269,169.233634
69928,-77.452585,169.235326
70147,-77.455441,169.242042
70189,-77.453291,169.237404
70297,-77.449007,169.222148
70349,-77.452907,169.236337
70437,-77.454035,169.234267
70447,-77.453283,169.239533
70516,-77.450591,169.22098
70545,-77.452005,169.231282
70578,-77.46249,169.28562
70581,-77.456453,169.234497
70633,-77.452738,169.23137
70685,-77.452942,169.236295
70756,-77.452436,169.234478
70762,0,0
70770,-77.452998,169.233069
70880,-77.452485,169.235999
70996,-77.453317,169.235034
71050,-77.456055,169.229258
71091,-77.453155,169.234866
71271,0,0
71329,-77.453956,169.22508
71341,-77.452638,169.234121
71362,-77.452007,169.231091
71376,-77.45508,169.232629
71381,-77.452139,169.227176
71439,-77.452919,169.234214
71462,-77.45296,169.233961
71485,-77.453092,169.231623
71497,-77.453357,169.23766
71525,-77.461832,169.289091
71528,-77.453057,169.237489
71632,-77.452802,169.234677
71721,-77.456594,169.227624
71762,-77.453259,169.236784
71896,-77.452979,169.236353
71912,-77.452496,169.234264
71915,-77.452607,169.234692
72030,-77.452876,169.233797
72039,-77.449546,169.219275
72060,-77.451531,169.230922
72062,-77.452616,169.234002
72079,-77.452814,169.230958
72108,-77.453245,169.239165
72140,-77.452556,169.23464
72148,-77.452697,169.229618
72158,-77.452464,169.234167
72183,-77.453196,169.239473
72792,0,0
72815,-77.45261,169.234429
72873,-77.45239,169.234795
73059,-77.449233,169.223537
73352,-77.451153,169.229455
74341,0,0
74569,-77.453682,169.236414
74580,-77.453806,169.238064
74613,-77.45104,169.229036
74636,-77.453782,169.236186
74644,-77.45261,169.233824
74655,-77.450164,169.227504
74659,-77.451379,169.224879
74661,-77.45334,169.23057
74669,-77.452973,169.23316
74691,0,0
74706,0,0
74708,0,0
74722,-77.453139,169.231823
74729,-77.453326,169.229177
74752,-77.449515,169.225978
74765,-77.453022,169.222857
74774,-77.453184,169.228085
74786,0,0
74787,-77.44896,169.221356
74797,-77.45304,169.230334
74816,-77.453283,169.227989
74869,-77.453261,169.229126
74884,-77.452473,169.230748
74907,-77.452423,169.230417
74912,-77.452437,169.234234
74927,-77.452715,169.228892
74947,-77.452135,169.234508
74956,-77.452736,169.23032
74986,-77.453037,169.230504
74990,-77.453675,169.227374
74995,-77.452595,169.229727
75028,0,0
75047,-77.45291,169.22638
75064,-77.452789,169.231272
75101,-77.453285,169.228034
75108,-77.44927,169.222935
75179,-77.453374,169.228221
75199,-77.451462,169.23054
75205,-77.453478,169.2286
75209,-77.45236,169.22764
75210,-77.4527,169.232959
75218,0,0
75229,0,0
75237,-77.453503,169.228618
75264,0,0
75266,-77.453956,169.225091
75278,-77.453441,169.22758
75294,-77.453421,169.227735
75295,-77.453339,169.22802
75316,0,0
75329,-77.45401,169.225379
75356,-77.453959,169.225332
75363,0,0
75371,-77.453087,169.233082
75382,-77.45328,169.22845
75399,-77.453647,169.228853
75429,-77.45378,169.22864
75431,-77.453254,169.229761
75443,-77.453087,169.227512
75450,-77.453789,169.224566
75458,-77.451943,169.229308
75469,-77.452303,169.227186
75484,-77.45307,169.227785
75507,0,0
75516,0,0
75519,-77.451824,169.230387
75559,-77.451887,169.231891
75572,-77.45285,169.224022
75593,-77.45264,169.22981
75612,0,0
75623,0,0
75641,0,0
75829,0,0
75883,-77.452787,169.224974
75934,-77.45244,169.22806
75952,-77.452728,169.228892
75953,0,0
75982,-77.45181,169.2282
76036,-77.45241,169.228568
76039,0,0
76507,0,0
78189,-77.452963,169.23424
78291,0,0
79121,0,0
79162,-77.452784,169.230374
79191,-77.451703,169.229685
79231,-77.451963,169.231167
79335,-77.452717,169.227401
79370,-77.453701,169.228316
79441,-77.452717,169.231106
79472,-77.45162,169.231302
79476,-77.452741,169.234231
79483,-77.452393,169.229994
79535,-77.45286,169.230343
79550,-77.453185,169.234068
79928,0,0
81934,0,0
