season,bandnumb,lat,lon,CR,type
1819,51053,-77.45262650000001,169.2360945,TRUE,Subcolony
1819,51053,-77.45262650000001,169.2360945,TRUE,Subcolony
1819,51069,-77.453002,169.23374,TRUE,Subcolony
1819,51491,-77.452593,169.229478,TRUE,Subcolony
1819,62155,-77.452334,169.2344,TRUE,Subcolony
1819,62335,-77.452556,169.233409,TRUE,Subcolony
1819,65462,-77.45271,169.23292,FALSE,Subcolony
1819,65553,-77.454673,169.237819,TRUE,Subcolony
1819,66001,-77.453149,169.234404,TRUE,Subcolony
1819,69757,-77.453087,169.233813,TRUE,Subcolony
1819,69785,-77.453126,169.230594,TRUE,Subcolony
1819,69785,-77.453126,169.230594,TRUE,Subcolony
1819,69936,-77.45368,169.229214,TRUE,Subcolony
1819,70164,-77.451995,169.232361,TRUE,Subcolony
1819,70213,-77.452967,169.238471,TRUE,Subcolony
1819,70449,-77.451758,169.230566,FALSE,Subcolony
1819,71475,-77.452767,169.234715,TRUE,Subcolony
1819,71632,-77.4528115,169.234665,TRUE,Subcolony
1819,71632,-77.4528115,169.234665,TRUE,Subcolony
1819,71816,-77.452904,169.236101,FALSE,Subcolony
1819,71865,-77.454237,169.23669,TRUE,Subcolony
1819,72023,-77.452796,169.233347,TRUE,Subcolony
1920,32159,-77.452693,169.233686,TRUE,Subcolony
1920,32189,-77.45234,169.233094,TRUE,Subcolony
1920,46408,-77.452784,169.234504,TRUE,Subcolony
1920,46478,-77.45283,169.234535,TRUE,Subcolony
1920,49842,-77.452599,169.232113,TRUE,Subcolony
1920,50395,-77.452609,169.229511,TRUE,Subcolony
1920,50416,-77.453082,169.229487,TRUE,Subcolony
1920,50625,-77.453011,169.230909,TRUE,Subcolony
1920,50945,-77.452168,169.233373,TRUE,Subcolony
1920,51069,-77.453004,169.23378400000001,TRUE,Subcolony
1920,51491,-77.452546,169.22953,TRUE,Subcolony
1920,62335,-77.45257,169.2334,FALSE,Subcolony
1920,69757,-77.453102,169.23376,FALSE,Subcolony
1920,69785,-77.45332,169.230153,TRUE,Subcolony
1920,69936,-77.453648,169.229218,TRUE,Subcolony
1920,70164,-77.452086,169.232301,TRUE,Subcolony
1920,70449,-77.451761,169.230609,TRUE,Subcolony
1920,71164,-77.454111,169.236186,FALSE,Subcolony
1920,71475,-77.452766,169.234677,TRUE,Subcolony
1920,71632,-77.452812,169.234621,TRUE,Subcolony
1920,71816,-77.452876,169.236027,TRUE,Subcolony
1920,71817,-77.4533,169.236688,TRUE,Subcolony
1920,71865,-77.75707,169.394627,TRUE,Subcolony
