nestid,latitude,longitude
71362,-77.452007,169.231091
48391,-77.451849,169.230641
69555,-77.452082,169.231897
65912,-77.452769,169.23003
70545,-77.452005,169.231282
50395,-77.452594,169.229487
66038,-77.452923,169.235653
51491,-77.452634,169.229719
72148,-77.452697,169.229618
69286,-77.452819,169.230254
75458,-77.451943,169.229308
69828,-77.45269,169.233634
5902,-77.454783,169.22321
70633,-77.452738,169.23137
70685,-77.452942,169.236295
66199,-77.453594,169.235038
70880,-77.452485,169.235999
72039,-77.449546,169.219275
71341,-77.452638,169.234121
71632,-77.452802,169.234677
71915,-77.452607,169.234692
31884,-77.452998,169.231429
47953,-77.452353,169.227207
72079,-77.452814,169.230958
49012,-77.453036,169.232313
50494,-77.454608,169.229803
72140,-77.452556,169.23464
51548,-77.460553,169.228429
62089,-77.45762,169.247699
72158,-77.452464,169.234167
72815,-77.45261,169.234429
65778,-77.453382,169.230429
72873,-77.45239,169.234795
65852,-77.453624,169.229254
65934,-77.453788,169.236114
66144,-77.453042,169.234788
66336,-77.455867,169.247651
70516,-77.450591,169.22098
74644,-77.45261,169.233824
70770,-77.452998,169.233069
70996,-77.453317,169.235034
74765,-77.453022,169.222857
71439,-77.452919,169.234214
74912,-77.452437,169.234234
71462,-77.45296,169.233961
75266,-77.453956,169.225091
71485,-77.453092,169.231623
79162,-77.452784,169.230374
79476,-77.452741,169.234231
71497,-77.453357,169.23766
74580,-77.453806,169.238064
74636,-77.453782,169.236186
74729,-77.453326,169.229177
74797,-77.45304,169.230334
74986,-77.453037,169.230504
75210,-77.4527,169.232959
75294,-77.453421,169.227735
75431,-77.453254,169.229761
75484,-77.45307,169.227785
78189,-77.452963,169.23424
79335,-77.452717,169.227401
79550,-77.453185,169.234068
46746,-77.455327,169.228041
48379,-77.453029,169.230048
48840,-77.451612,169.231663
50197,-77.45185,169.22463
50936,-77.452277,169.235099
75108,-77.44927,169.222935
51373,-77.461555,169.28538
65272,-77.452995,169.236504
71381,-77.452139,169.227176
65831,-77.453755,169.224659
66027,-77.453232,169.234565
69449,-77.452807,169.224116
70147,-77.455441,169.242042
74995,-77.452595,169.229727
73352,-77.451153,169.229455
65817,-77.453624,169.235059
70189,-77.453291,169.237404
70349,-77.452907,169.236337
70447,-77.453283,169.239533
71091,-77.453155,169.234866
71329,-77.453956,169.22508
71721,-77.456594,169.227624
71896,-77.452979,169.236353
72030,-77.452876,169.233797
72183,-77.453196,169.239473
74569,-77.453682,169.236414
65464,-77.449411,169.22503
66102,-77.452885,169.236212
69928,-77.452585,169.235326
70297,-77.449007,169.222148
70437,-77.454035,169.234267
71050,-77.456055,169.229258
71528,-77.453057,169.237489
73059,-77.449233,169.223537
74659,-77.451379,169.224879
74752,-77.449515,169.225978
74787,-77.44896,169.221356
79191,-77.451703,169.229685
79370,-77.453701,169.228316
79472,-77.45162,169.231302
