proofed,bandnumb,bandseen,location,status,nuegg,nuch,bandgap,subcolony,flagged,chick1size,chick2size,chick1age,chick2age,sex,sexhow,nestpos,date,initials,notes,lat,lon,datum,orig_col,colony
1,46478,"Y","M","P/WBN",0,0,0,"2"," ","","",0,0,"U","",0,10/26/2017,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,69828,"Y","M","PBN",0,0,1,"2"," ","","",0,0,"U","",0,10/26/2017,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,46478,"Y","M","P/WBN",0,0,1,"2"," ","","",0,0,"U","",1,10/26/2017,"MLE","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,50945,"Y","M","SC",0,0,0,"9/10"," ","","",0,0,"U","",1,10/26/2017,"MLE","FIRST GDR BIRD! SEEMED GOOD",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71864,"Y","M","STD",0,0,2,"2","N","","",0,0,"U","",0,10/26/2017,"MLE","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,48391,"Y","M","P/PBN",0,0,0,"20","N","","",0,0,"U","",1,10/26/2017,"SW","FIRST BAND I READ",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,70269,"Y","M","P/PBN",0,0,0,"39"," ","","",0,0,"F","TM",3,10/27/2017,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71511,"Y","M","W",0,0,0,"39"," ","","",0,0,"U","",0,10/27/2017,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
0,31884,"Y","M","P/WBN",0,0,9,"5"," ","","",0,0,"M","",0,10/27/2017,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
0,48803,"Y","C","KC/SC",0,0,1,"","Y","","",0,0,"M","",2,10/27/2017,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
0,50416,"Y","M","P/PBN",0,0,1,"7"," ","","",0,0,"U","",0,10/27/2017,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
0,50494,"Y","P","STD",0,0,3,""," ","","",0,0,"U","",0,10/27/2017,"GB","",0.000000,0.000000,"","","CROZ"
0,70545,"Y","M","PBN",0,0,1,"18"," ","","",0,0,"U","",0,10/27/2017,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
0,70908,"Y","M","PBN",0,0,9,"3"," ","","",0,0,"U","",0,10/27/2017,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,50914,"Y","M","SLP",0,0,2,"1"," ","","",0,0,"M","BS",0,10/27/2017,"MLE","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,50936,"Y","M","PBN",0,0,2,"1"," ","","",0,0,"M","BS",3,10/27/2017,"MLE","BAND NEEDS FIXING, END STICKING OUT",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,69828,"Y","M","SC",0,0,1,"2"," ","","",0,0,"M","BS",3,10/27/2017,"MLE","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71817,"Y","M","PBN",0,0,1,"LCITY"," ","","",0,0,"M","BS",2,10/27/2017,"MLE","GDR BIRD! LOOKING GOOD. REMOVED AND DEPLOYED TAG",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,70260,"Y","M","W",0,0,0,"39"," ","","",0,0," ","",0,10/27/2017,"SW","",0.000000,0.000000,"","","CROZ"
1,70269,"Y","M","P/PBN",0,0,1,"39"," ","","",0,0," ","",3,10/27/2017,"SW","FEMALE? TREADMARKS?",0.000000,0.000000,"","","CROZ"
